[06.21.2022 19:45:25 | INFO]: You connect to - ('PostgreSQL 12.11 (Debian 12.11-1.pgdg110+1) on x86_64-pc-linux-gnu, compiled by gcc (Debian 10.2.1-6) 10.2.1 20210110, 64-bit',), 

[06.21.2022 19:45:25 | INFO]: TABLE UCRAINE_OR_NOT_GAME HAS BEEN DELETED
[06.21.2022 19:45:25 | INFO]: TABLE NORMAL_GAME HAS BEEN DELETED
[06.21.2022 19:45:25 | INFO]: TABLE PUTIN_OLD_LIES HAS BEEN DELETED
[06.21.2022 19:45:25 | INFO]: TABLE PUTIN_LIES HAS BEEN DELETED
[06.21.2022 19:45:25 | INFO]: TABLE TRUTHGAME HAS BEEN DELETED
[06.21.2022 19:45:25 | INFO]: TABLE MISTAKEORLIE HAS BEEN DELETED
[06.21.2022 19:45:25 | INFO]: TABLE TEXTS HAS BEEN DELETED
[06.21.2022 19:45:25 | INFO]: TABLE ASSETS HAS BEEN DELETED
[06.21.2022 19:45:25 | INFO]: TABLE TEXT IS CREATED
[06.21.2022 19:45:25 | INFO]: TABLE ASSETS IS CREATED
[06.21.2022 19:45:25 | INFO]: TABLE TRUTHGAME IS CREATED
[06.21.2022 19:45:25 | INFO]: MISTAKEORLIE TABLE IS CREATED
[06.21.2022 19:45:25 | INFO]: PUTIN LIES
[06.21.2022 19:45:25 | INFO]: TABLE PUTIN_OLD_LIES IS CREATED
[06.21.2022 19:45:25 | INFO]: TABLE NORMAL_GAME IS HERE
[06.21.2022 19:45:25 | INFO]: TABLE UCRAINE_OR_NOT_GAME IS CREATED
[06.21.2022 19:45:30 | INFO]: YOU CONNECT TO - SERVER MONGODB VERSION - 5.0.9 

[06.21.2022 19:45:31 | INFO]: Start poling
[06.21.2022 19:45:31 | INFO]: Run polling for bot @testtest12451_bot id=5412151268 - '123test'
