id,truth,asset_name,text_name,belivers,nonbelivers,rebuttal
1,f,statement_Песков_2,,4,3,Тут пока пусто(Песков)
2,t,statement_Соловьев_1,,3,15,В прямом эфире Youtube канала Соловьёва было показано видео с обстрелами территории нагорного Карабаха
3,f,statement_Соловьев_2,,2,2,"Соловьев сообщил, что в украинских магазинах продавали пасхальные куличи с символикой полка «Азов». Однако фото было смонтировано, заменена присыпка, а за основу взята фотография 2019 года с сайта украинского издания 'Факты', в материале которого журналист Карина Зуева вместе с кондитером Тамарой Балевой сравнивали куличи из разных сетевых украинских супермаркетов."
4,t,statement_Скабеева_1,,2,2,Тут пока пусто(Скабеева)
5,t,statement_Песков_1,,2,11,Тут пока пусто(Песков)
6,f,statement_Кадыров_1,,20,16,Тут пока пусто(Кадыров)
7,f,statement_Кадыров_2,,20,16,Тут пока пусто(Кадыров)
8,f,statement_Лавров_1,,20,14,"Во время переговоров в Анталье в марте 2022 года Лавров заявил, что российское государство хочет, что в Украине запрещают русский язык. Агентство 'Тасс' опубликовало статью об ущемлении русского языка в Украине. В этой статье также было указано, что за использование русского языка в Украине следуют ответственность и штрафы.В Украине действительно есть закон о государственном (украинском) языке. Вот только он не запрещает русский. Закон уточняет, что на украинском языке должны разговаривать работники власти и гос.учреждений, однако это правило не распространяется на общение и религиозную деятельность. Сами жители Украины подтвердили, что никакого ущемления русского языка в стране нет, и они могут разговаривать на любом языке. Информационное агентство 'Тасс' подправило статью, убрав текст об ответственности и штрафах за русский язык."
9,f,statement_Лавров_2,,20,14,"На одном из своих выступлений Лавров напомнил об еврейских корнях Гитлера в ответ на аргумент, что в Украине нет национализма, ведь их президент - еврей. Однако среди авторитетных специалистов, занимающихся историей нацистской Германии и, в частности, биографией Гитлера, существует неоспоримый консенсус: нет никаких документальных подтверждений, позволяющих утверждать о еврейских корнях лидера."
10,f,statement_Подоляка_1,,20,14,Тут пока пусто(Подоляка)
