id,truth,asset_name,text_name,belivers,nonbelivers,rebuttal
4,t,statement_Скабеева_1,,2,2,Тут пока пусто(Скабеева)
6,f,statement_Кадыров_1,,20,16,Тут пока пусто(Кадыров)
7,f,statement_Кадыров_2,,20,16,Тут пока пусто(Кадыров)
1,f,statement_Песков_2,,4,6,Тут пока пусто(Песков)
5,t,statement_Песков_1,,3,16,Тут пока пусто(Песков)
10,f,statement_Подоляка_1,,20,17,Тут пока пусто(Подоляка)
9,f,statement_Лавров_2,,20,17,"На одном из своих выступлений Лавров напомнил об еврейских корнях Гитлера в ответ на аргумент, что в Украине нет национализма, ведь их президент - еврей. Однако среди авторитетных специалистов, занимающихся историей нацистской Германии и, в частности, биографией Гитлера, существует неоспоримый консенсус: нет никаких документальных подтверждений, позволяющих утверждать о еврейских корнях лидера."
2,t,statement_Соловьев_1,,3,17,В прямом эфире Youtube канала Соловьёва было показано видео с обстрелами территории нагорного Карабаха
3,f,statement_Соловьев_2,,3,3,"Соловьев сообщил, что в украинских магазинах продавали пасхальные куличи с символикой полка «Азов». Однако фото было смонтировано, заменена присыпка, а за основу взята фотография 2019 года с сайта украинского издания 'Факты', в материале которого журналист Карина Зуева вместе с кондитером Тамарой Балевой сравнивали куличи из разных сетевых украинских супермаркетов."
8,f,statement_Лавров_1,,20,15,"Во время переговоров в Анталье в марте 2022 года Лавров заявил, что российское государство хочет, что в Украине запрещают русский язык. Агентство 'Тасс' опубликовало статью об ущемлении русского языка в Украине. В этой статье также было указано, что за использование русского языка в Украине следуют ответственность и штрафы.В Украине действительно есть закон о государственном (украинском) языке. Вот только он не запрещает русский. Закон уточняет, что на украинском языке должны разговаривать работники власти и гос.учреждений, однако это правило не распространяется на общение и религиозную деятельность. Сами жители Украины подтвердили, что никакого ущемления русского языка в стране нет, и они могут разговаривать на любом языке. Информационное агентство 'Тасс' подправило статью, убрав текст об ответственности и штрафах за русский язык."
11,f,statement_Михалков_1,,1,1,"В эфире передачи «Бесогон ТВ» Никита Михалков <a href=""https://youtu.be/Uy3jfrRkDSg?t=357"">показал </a> сюжет, в котором девушка во Франции истошно кричит из-за того, что полицейский лопнул её шарик.
На <a href=""https://youtu.be/973J7DqPTFo"">самом деле</a>, девушка согнулась пополам, потому что шарик попал ей в глаз, а звук с истерикой был наложен Михалковым."
12,f,statement_Михалков_2,,1,1,"В программе «Бесогон ТВ» Никита Михалков <a href=""https://youtu.be/QHNNjDs2rGc?t=2383"">заявил</a>, что ПАО «Сбербанк» находится под контролем иностранных  лиц.
На самом деле контрольный пакет акций <a href=""https://www.vedomosti.ru/finance/articles/2020/04/10/827726-pravitelstvo-kupilo-sberbank"">принадлежит</a> правительству РФ, поэтому гражданство руководства Сбербанка не имеет значения."
13,f,statement_Михалков_3,,1,1,"Михалков, в одной из передач  <a href=""https://youtu.be/6jnpR8ZfBOg?t=2538"">назвал</a> Клауса Шваба потомком нацистом и даже привёл в пример «фото» его отца. Однако на фото совершенно <a href=""https://www.armedconflicts.com/Dybilasz-Walter-t142333"">другой</a> человек - и зовут его Вальтер Дибилаш. Он нацистский генерал и родственником Швабу не приходится. Настоящего <a href=""https://static.open.online/wp-content/uploads/2022/05/image-103.png"">отца</a> Клауса звали Ойген Шваб."
